Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2915556;Großhansdorf;Grosshansdorf;Groothansdoerp,Groothansdörp,Groskhansdorf,Grosshansdorf,Großhansdorf,da han si duo fu,Гросхансдорф,大汉斯多夫;P;PPLA4;DE;Germany;;10;00;01062;01062023;9009;;47;Europe/Berlin;2015-03-04;Germany;53.66667, 10.28333
2948727;Birenbach;Birenbach;Birenbakh,bi lun ba he,Биренбах,Біренбах,比伦巴赫;P;PPLA4;DE;Germany;;01;081;08117;08117009;1941;;367;Europe/Berlin;2011-04-25;Germany;48.74732, 9.66115
2949777;Bestensee;Bestensee;Bestensee,Bestenze,bei si teng sai,Бестензе,Բեստենզե,贝斯滕塞;P;PPLA4;DE;Germany;;11;00;12061;12061020;6265;;37;Europe/Berlin;2017-04-26;Germany;52.23978, 13.63732
2953534;Bad Buchau;Bad Buchau;Bad Buchau,Bad Bukhau,Bad Buxau,Bad-Bukhau,Buchau,Buchau am Federsee,ba te bu hao,bad bwkhaw,bad bwsha,bad-bukhau,Бад Бухау,Бад-Бухау,Բադ Բուխաու,باد بوخاو,باد بوشا,ბად-ბუხაუ,巴特布豪;P;PPL;DE;Germany;;01;084;08426;08426013;4040;;589;Europe/Berlin;2013-02-15;Germany;48.06231, 9.61244
2847708;Rhade;Rhade;;P;PPLA4;DE;Germany;;06;00;03357;03357038;1101;;18;Europe/Berlin;2011-04-25;Germany;53.32872, 9.1135
2853146;Plößberg;Plossberg;Plossberg,Plößberg;P;PPL;DE;Germany;;02;093;09377;09377127;3531;;550;Europe/Berlin;2018-12-04;Germany;49.91977, 11.86883
2863438;Nieder-Florstadt;Nieder-Florstadt;;P;PPL;DE;Germany;;05;064;06440;06440007;3359;122;128;Europe/Berlin;2020-03-25;Germany;50.3162, 8.86166
2872972;Massing;Massing;Masing,Massing,ma xing,masyng,Масинг,Массинг,Массінг,Մասինգ,ماسینگ,马兴;P;PPL;DE;Germany;;02;092;09277;09277133;4144;;429;Europe/Berlin;2023-09-18;Germany;48.39118, 12.60947
2890336;Kirchweidach;Kirchweidach;Kirkhvajdakh,Kirxvaydax,ji er xi wei da,kyrsh waydakh,Кирхвайдах,Кирхвајдах,Кірхвайдах,Կիրխվայդախ,کیرش وایداخ,基尔希魏达;P;PPLA4;DE;Germany;;02;091;09171;09171122;2274;;508;Europe/Berlin;2017-04-26;Germany;48.08575, 12.6453
2787572;Ruddervoorde;Ruddervoorde;Ruddervoorde;P;PPL;BE;Belgium;;VLG;VWV;31;31022;5832;;14;Europe/Brussels;2020-04-05;Belgium;51.09589, 3.20743
2751122;Marsum;Marsum;Marssum,Marsum;P;PPL;NL;Netherlands;;02;1949;;;1185;;2;Europe/Amsterdam;2019-01-20;Netherlands;53.2105, 5.72637
2893237;Kandern;Kandern;Kandern,kan de er en,kandrn,Кандерн,كاندرن,کاندرن,坎德尔恩;P;PPL;DE;Germany;;01;083;08336;08336045;8070;;348;Europe/Berlin;2013-02-16;Germany;47.71393, 7.66237
2913587;Güntersleben;Guntersleben;Gintersleben,Gjuntersleben,Guentersleben,Gyuntersleben,Güntersleben,gyuntasureben,jin te er si lai ben,Гинтерслебен,Гюнтерслебен,Գյունտերսլեբեն,ギュンタースレーベン,金特尔斯莱本;P;PPLA4;DE;Germany;;02;096;09679;09679142;4472;;267;Europe/Berlin;2015-03-04;Germany;49.86972, 9.905
2953828;Ayl;Ayl;;P;PPLA4;DE;Germany;;08;00;07235;07235002;1479;;173;Europe/Berlin;2011-04-25;Germany;49.63333, 6.55
2974324;Somain;Somain;Somain;P;PPL;FR;France;;32;59;593;59574;12310;;26;Europe/Paris;2016-02-18;France;50.35961, 3.28108
2981815;Saint-Amarin;Saint-Amarin;Saint-Amarin,Sankt Amarin,Sent-Amaren,Сент-Амарен,سینٹ-عمریں;P;PPL;FR;France;;44;68;686;68292;2556;;414;Europe/Paris;2018-11-06;France;47.87494, 7.0294
2984548;Raimbeaucourt;Raimbeaucourt;Raimbeaucourt,Rembokur,lan bo ku er,Рембокур,兰博库尔;P;PPL;FR;France;;32;59;593;59489;4450;;24;Europe/Paris;2016-02-18;France;50.43466, 3.09333
2992206;Montoir-de-Bretagne;Montoir-de-Bretagne;Montoir,Montoir-de-Bretagne,Montorium,Montuar-de-Bretan',Mouster-al-Loc'h,Mouster-al-Loch,meng tu wa de bu lei ta ni,Монтуар-де-Бретань,蒙图瓦德布雷塔尼;P;PPL;FR;France;;52;44;443;44103;6762;;10;Europe/Paris;2020-09-10;France;47.32824, -2.14877
2998443;Lieurey;Lieurey;L'ere,Lieurey,li ye yu lei,Льере,Льєре,利耶于雷;P;PPL;FR;France;;28;27;272;27367;1255;;171;Europe/Paris;2016-02-18;France;49.23019, 0.49879
3019016;Fargues-Saint-Hilaire;Fargues-Saint-Hilaire;Farg-Sen-Iler,Fargas,Fargas Sent Ilari,Fargues,Fargues-Saint-Hilaire,fa er gai sheng yi lai er,Фарг-Сен-Ілер,Фарг-Сен-Илер,法尔盖圣伊莱尔;P;PPL;FR;France;;75;33;332;33165;1351;;86;Europe/Paris;2020-01-08;France;44.82383, -0.44495
2991118;Murviel-lès-Montpellier;Murviel-les-Montpellier;Mervielh,Mervielh de Montpelhier,Mervièlh,Mervièlh de Montpelhièr,Mjurv'el'-le-Monpel'e,Mjurvel'-le-Monpel'e,Murviel,Murviel-les-Montpellier,Murviel-lès-Montpellier,mi er wei ye lai meng bi li ai,Мюрвьель-ле-Монпелье,Мюрвєль-ле-Монпельє,米尔维耶莱蒙彼利埃;P;PPL;FR;France;;76;34;343;34179;1352;;131;Europe/Paris;2016-02-18;France;43.60528, 3.7375
2972209;Tournon-Saint-Martin;Tournon-Saint-Martin;Tournon,Tournon-Saint-Martin,Turnon-Sen-Marten,tu er nong sheng ma er tan,Турнон-Сен-Мартен,图尔农圣马尔坦;P;PPL;FR;France;;24;36;361;36224;1217;;73;Europe/Paris;2016-02-18;France;46.73423, 0.95514
2980953;Saint-Cyr-en-Bourg;Saint-Cyr-en-Bourg;Saint-Cyr;P;PPL;FR;France;;52;49;493;49060;1140;;50;Europe/Paris;2019-03-28;France;47.1952, -0.06085
2993780;Mions;Mions;Mions,Mjon,Мйон;P;PPL;FR;France;;84;69;691;69283;11424;;221;Europe/Paris;2019-06-05;France;45.66302, 4.95292
2994447;Mercury;Mercury;Mercury-Gemilly,Mercury-Gémilly;P;PPL;FR;France;;84;73;731;73154;2562;;552;Europe/Paris;2016-02-18;France;45.67452, 6.33688
2997644;Longvic;Longvic;Longvic,Lonvi,Lonvik,lnwyk,long ge wei ke,Лонви,Лонвик,Лонві,لنویک,隆格维克;P;PPL;FR;France;;27;21;212;21355;9527;;226;Europe/Paris;2016-02-18;France;47.28754, 5.06341
3001402;Les Clayes-sous-Bois;Les Clayes-sous-Bois;Clayes-sous-Bois,Klej su Boa,Le-Kle-su-Bua,Les Clayes,Les Clayes-sous-Bois,Клеј су Боа,Ле-Кле-су-Буа;P;PPL;FR;France;;11;78;784;78165;17776;;132;Europe/Paris;2016-02-18;France;48.82206, 1.98677
2910875;Hänigsen;Haenigsen;'Kasperland',Haehnsen,Haenigsen,Hanigsen,Henighusen [a. 1226],Hähnsen,Hänigsen,Uetze-Haenigsen,Uetze-Hänigsen;P;PPL;DE;Germany;;06;00;03241;03241018;6033;55;49;Europe/Berlin;2014-03-15;Germany;52.48425, 10.09129
2949482;Beverstedt;Beverstedt;Befershtedt,Bevershtedt,Bevershtet,Gemeen Beverst,bei fei er si te,Беверштедт,Беверштет,Беферштедт,贝费尔斯特;P;PPL;DE;Germany;;06;00;03352;03352059;4423;;12;Europe/Berlin;2015-09-05;Germany;53.43413, 8.81915
2959514;Adelsdorf;Adelsdorf;Adelsdorf,Attelsdorff;P;PPL;DE;Germany;;02;095;09575;09575152;7245;;328;Europe/Berlin;2023-11-21;Germany;49.47022, 10.68522
2855373;Partenheim;Partenheim;;P;PPLA4;DE;Germany;;08;00;07331;07331056;1581;;184;Europe/Berlin;2011-04-25;Germany;49.88389, 8.08222
2818170;Ursberg;Ursberg;Owrsberg,Ursberg,wu er si bei ge,Урсберг,Ուրսբերգ,乌尔斯贝格;P;PPLA4;DE;Germany;;02;097;09774;09774116;3579;;513;Europe/Berlin;2011-04-25;Germany;48.26428, 10.44594
2836089;Schriesheim;Schriesheim;Schriesheim,Shrisgajm,Shriskhajm,shi li si hai mu,shryshaym,shryzhaym,shurisuhaimu,Шрисхайм,Шрисхајм,Шрісгайм,شريسهايم,شریزهایم,シュリースハイム,施里斯海姆;P;PPL;DE;Germany;;01;082;08226;08226082;14379;;118;Europe/Berlin;2013-02-15;Germany;49.47372, 8.6636
